Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.96565,0.9245599329421627,0.6488235294117647,0.7625302454199793
Random Forest,0.96975,0.9397590361445783,0.6882352941176471,0.7945670628183361
XGBoost,0.9713,0.94896331738437,0.7,0.8056872037914692
